"Spring Salad","People are surprised when they taste this salad with the odd combination of ingredients, but it's a very very good salad.","4","true","30 mins"
"Rachel's Tomato Basil Soup","Fresh basil is the key to this delicious and creamy tomato soup.  Serve with homemade French bread for a special treat!","3","true","30 mins"
"bkt","bak kut teh","","false","10min"
"Garlic and Thai Basil Spaghetti","A simple, flavorful pasta dish with fresh Thai basil, garlic, a splash of fish sauce, and grated provolone.","4","false","30 mins"
"Chicken Fritters","These chicken fritters are delicious on their own but outstanding with a chicken dipping sauce.
                    Finger food at its best!","","false","30 mins"
"Boiled Chicken","A recipe for boiled chicken; boiled chicken meat is called for in many other recipes, and is a wonderful basic recipe to have for many uses.","","false","10 mins"
"Chef John's Chicken and Mushrooms","This chicken and mushrooms recipe video is an experiment in extreme self-control; I wanted to challenge myself to make a chicken and mushrooms recipe using only chicken and mushrooms.","","false","10 mins"
"Potted Beef","Old fashioned potted beef is great on toast. This recipe was invented to be kept for long periods of time unrefrigerated, but in practice it must be kept in the refrigerator and used within a week. Other kinds of meat may be used instead of beef.","5.0","false","30 mins"
"Cornucopia Salad","Delicious salad that tastes like the III Forks salad (if you live in the Dallas area). It's an excellent salad that everyone will love, and it's very easy to make!","4.88","false","20 mins"
"Chef John's Chicken and Mushrooms","This chicken and mushrooms recipe video is an experiment in extreme self-control; I wanted to challenge myself to make a chicken and mushrooms recipe using only chicken and mushrooms.","4.71","true","10 mins"
"bkt","bak kut teh","","","5mins"
"Lamb Shank","Delicious grilled leg of lamb in a wonderful herb marinade.","4.33","false","15 mins"
"Whole Earth Kale Salad","This is an awesome way to use kale in a delicious salad.","4.5","false","20 mins"
